sisid,sci_name,presence,origin,seasonal,source,compiler,data_sens,sens_comm,dist_comm,tax_comm,generalisd,citation,yrcompiled,yrmodified,version,Shape_Leng,Shape_Area
22694927,Fratercula arctica,1,1,3,"Seabird Tracking Database, Gaston & Jones, 1998; Poole & Gill, 1992-2002; Cramp, 1997","Colin Michel, Rob Martin; Joe Taylor (BirdLife International)",0,,,,0,BirdLife International and Handbook of the Birds of the World (2018),2016,2018.0,2023.1,1997.86736771,2726.2083379
22694927,Fratercula arctica,1,1,2,"National Geographic Society, 1999; Cramp, 1997; Ridgley, 2003; Flint, 1984; Gaston & Jones, 1998; Cramp, 1997; Hagemeier & Blair 1997",Rob Martin (BirdLife International),0,,,,0,BirdLife International and Handbook of the Birds of the World (2018),2013,2018.0,2023.1,1156.6233725,63.3016648554
22694927,Fratercula arctica,1,1,2,"Gaston & Jones, 1998; Poole & Gill, 1992-2002",Rob Martin; Joe Taylor (BirdLife International),0,,At-sea range,,0,BirdLife International and Handbook of the Birds of the World (2018),2013,2018.0,2023.1,2846.40240757,332.511879082
