Time,Latitude,Longitude,TOS
1950-01-16,63.334877014160156,20.10354232788086,0.94166255
1950-02-16,63.334877014160156,20.10354232788086,-0.12725
1950-03-16,63.334877014160156,20.10354232788086,0.37950042
1950-04-16,63.334877014160156,20.10354232788086,1.3859733
1950-05-16,63.334877014160156,20.10354232788086,2.7967796
1950-06-16,63.334877014160156,20.10354232788086,4.2536793
1950-07-16,63.334877014160156,20.10354232788086,7.986011
1950-08-16,63.334877014160156,20.10354232788086,10.252365
1950-09-16,63.334877014160156,20.10354232788086,9.841063
1950-10-16,63.334877014160156,20.10354232788086,7.9108696
1950-11-16,63.334877014160156,20.10354232788086,4.6648207
1950-12-16,63.334877014160156,20.10354232788086,0.3600634
1951-01-16,63.334877014160156,20.10354232788086,-0.23205425
1951-02-16,63.334877014160156,20.10354232788086,-0.053420734
1951-03-16,63.334877014160156,20.10354232788086,-0.2134549
1951-04-16,63.334877014160156,20.10354232788086,-0.1325654
1951-05-16,63.334877014160156,20.10354232788086,0.57200354
1951-06-16,63.334877014160156,20.10354232788086,3.1744437
1951-07-16,63.334877014160156,20.10354232788086,6.628553
1951-08-16,63.334877014160156,20.10354232788086,11.75151
1951-09-16,63.334877014160156,20.10354232788086,11.683067
1951-10-16,63.334877014160156,20.10354232788086,8.289602
1951-11-16,63.334877014160156,20.10354232788086,5.2575
1951-12-16,63.334877014160156,20.10354232788086,2.9426334
1952-01-16,63.334877014160156,20.10354232788086,1.3817647
1952-02-16,63.334877014160156,20.10354232788086,0.6438948
1952-03-16,63.334877014160156,20.10354232788086,-0.047249187
1952-04-16,63.334877014160156,20.10354232788086,0.4189122
1952-05-16,63.334877014160156,20.10354232788086,2.8630278
1952-06-16,63.334877014160156,20.10354232788086,7.119938
1952-07-16,63.334877014160156,20.10354232788086,9.244203
1952-08-16,63.334877014160156,20.10354232788086,13.542609
1952-09-16,63.334877014160156,20.10354232788086,10.806238
1952-10-16,63.334877014160156,20.10354232788086,10.019792
1952-11-16,63.334877014160156,20.10354232788086,6.47608
1952-12-16,63.334877014160156,20.10354232788086,1.9173356
1953-01-16,63.334877014160156,20.10354232788086,0.07575352
1953-02-16,63.334877014160156,20.10354232788086,-0.13595508
1953-03-16,63.334877014160156,20.10354232788086,-0.027551755
1953-04-16,63.334877014160156,20.10354232788086,0.11722432
1953-05-16,63.334877014160156,20.10354232788086,1.6680404
1953-06-16,63.334877014160156,20.10354232788086,5.296599
1953-07-16,63.334877014160156,20.10354232788086,8.222096
1953-08-16,63.334877014160156,20.10354232788086,10.559513
1953-09-16,63.334877014160156,20.10354232788086,10.070631
1953-10-16,63.334877014160156,20.10354232788086,8.669265
1953-11-16,63.334877014160156,20.10354232788086,5.755711
1953-12-16,63.334877014160156,20.10354232788086,2.5390582
1954-01-16,63.334877014160156,20.10354232788086,1.0184307
1954-02-16,63.334877014160156,20.10354232788086,1.018531
1954-03-16,63.334877014160156,20.10354232788086,-0.031704403
1954-04-16,63.334877014160156,20.10354232788086,0.5916427
1954-05-16,63.334877014160156,20.10354232788086,2.7784438
1954-06-16,63.334877014160156,20.10354232788086,6.65926
1954-07-16,63.334877014160156,20.10354232788086,10.713065
1954-08-16,63.334877014160156,20.10354232788086,13.352895
1954-09-16,63.334877014160156,20.10354232788086,10.970699
1954-10-16,63.334877014160156,20.10354232788086,6.134719
1954-11-16,63.334877014160156,20.10354232788086,4.91675
1954-12-16,63.334877014160156,20.10354232788086,1.5805798
1955-01-16,63.334877014160156,20.10354232788086,-0.33456787
1955-02-16,63.334877014160156,20.10354232788086,-0.25300995
1955-03-16,63.334877014160156,20.10354232788086,-0.112970375
1955-04-16,63.334877014160156,20.10354232788086,-0.06572957
1955-05-16,63.334877014160156,20.10354232788086,1.0097269
1955-06-16,63.334877014160156,20.10354232788086,4.3626013
1955-07-16,63.334877014160156,20.10354232788086,8.4927435
1955-08-16,63.334877014160156,20.10354232788086,9.581782
1955-09-16,63.334877014160156,20.10354232788086,9.7269535
1955-10-16,63.334877014160156,20.10354232788086,7.8177304
1955-11-16,63.334877014160156,20.10354232788086,4.0546966
1955-12-16,63.334877014160156,20.10354232788086,0.87488174
1956-01-16,63.334877014160156,20.10354232788086,1.0071881
1956-02-16,63.334877014160156,20.10354232788086,0.23258723
1956-03-16,63.334877014160156,20.10354232788086,0.15716836
1956-04-16,63.334877014160156,20.10354232788086,1.0859177
1956-05-16,63.334877014160156,20.10354232788086,2.861887
1956-06-16,63.334877014160156,20.10354232788086,4.996408
1956-07-16,63.334877014160156,20.10354232788086,6.811752
1956-08-16,63.334877014160156,20.10354232788086,10.910022
1956-09-16,63.334877014160156,20.10354232788086,10.582135
1956-10-16,63.334877014160156,20.10354232788086,8.317842
1956-11-16,63.334877014160156,20.10354232788086,5.5655203
1956-12-16,63.334877014160156,20.10354232788086,1.1738756
1957-01-16,63.334877014160156,20.10354232788086,0.14780727
1957-02-16,63.334877014160156,20.10354232788086,-0.21344331
1957-03-16,63.334877014160156,20.10354232788086,-0.16852307
1957-04-16,63.334877014160156,20.10354232788086,0.03386176
1957-05-16,63.334877014160156,20.10354232788086,1.4722532
1957-06-16,63.334877014160156,20.10354232788086,4.80928
1957-07-16,63.334877014160156,20.10354232788086,9.411898
1957-08-16,63.334877014160156,20.10354232788086,12.186223
1957-09-16,63.334877014160156,20.10354232788086,9.77155
1957-10-16,63.334877014160156,20.10354232788086,8.5452
1957-11-16,63.334877014160156,20.10354232788086,6.537159
1957-12-16,63.334877014160156,20.10354232788086,3.4319613
